,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,92,PF,1546735897,96,-23.12,-134.97,79.77,18.03
1,butaritari,92,KI,1546735897,100,3.07,172.79,81.57,9.75
2,busselton,0,AU,1546735898,91,-33.64,115.35,70.37,15.12
3,beloha,0,MG,1546735898,88,-25.17,45.06,73.83,4.83
4,aklavik,90,CA,1546732800,76,68.22,-135.01,-2.21,2.24
5,grindavik,75,IS,1546734600,69,63.84,-22.43,37.4,29.97
6,graaff-reinet,12,ZA,1546735899,69,-32.25,24.53,54.66,3.49
7,chumikan,0,RU,1546735820,44,54.72,135.31,-6.41,8.41
8,karratha,0,AU,1546735900,71,-20.74,116.85,84.14,5.73
9,new norfolk,40,AU,1546734600,40,-42.78,147.06,68.0,18.34
10,tasiilaq,5,GL,1546732200,79,65.61,-37.64,24.8,8.05
11,cabo san lucas,75,MX,1546731720,69,22.89,-109.91,73.4,6.62
12,caconda,88,AO,1546735948,68,-13.73,15.06,67.62,7.63
13,airai,20,TL,1546735948,82,-8.93,125.41,76.17,0.81
14,atuona,80,PF,1546735948,100,-9.8,-139.03,81.35,14.56
15,ancud,0,CL,1546732800,76,-41.87,-73.83,55.4,4.7
16,changying,0,CN,1546735949,34,52.87,123.32,-24.18,2.48
17,codrington,40,AU,1546732800,51,-28.95,153.24,86.0,14.99
18,richards bay,76,ZA,1546735949,81,-28.77,32.06,71.4,10.09
19,ponta do sol,92,BR,1546735950,99,-20.63,-46.0,64.7,3.94
20,sitka,0,US,1546735950,46,37.17,-99.65,51.06,10.54
21,arraial do cabo,24,BR,1546735951,88,-22.97,-42.02,79.05,3.27
22,port alfred,80,ZA,1546735951,88,-33.59,26.89,66.77,12.1
23,vaini,0,IN,1546732800,71,15.34,74.49,53.6,3.27
24,terra santa,56,BR,1546735952,89,-2.1,-56.49,78.51,1.48
25,lavrentiya,0,RU,1546735952,97,65.58,-170.99,-2.27,15.01
26,muravlenko,44,RU,1546735953,62,63.79,74.5,-7.35,10.42
27,hamilton,90,BM,1546732500,83,32.3,-64.78,73.4,24.16
28,chuy,0,UY,1546735954,73,-33.69,-53.46,69.42,15.23
29,muhos,76,FI,1546734000,100,64.81,26.0,21.2,4.7
30,clearwater,90,US,1546734900,82,27.97,-82.8,62.06,8.05
